Driver,Stint,Compound,StartLap,EndLap,Laps,Race,Season
ALB,1.0,MEDIUM,1.0,12.0,12,Abu Dhabi,2024
ALB,2.0,HARD,13.0,57.0,45,Abu Dhabi,2024
ALO,1.0,MEDIUM,1.0,13.0,13,Abu Dhabi,2024
ALO,2.0,HARD,14.0,37.0,24,Abu Dhabi,2024
ALO,3.0,HARD,38.0,58.0,21,Abu Dhabi,2024
BOT,1.0,MEDIUM,1.0,6.0,6,Abu Dhabi,2024
BOT,2.0,HARD,7.0,30.0,24,Abu Dhabi,2024
COL,1.0,MEDIUM,1.0,3.0,3,Abu Dhabi,2024
COL,2.0,HARD,4.0,26.0,23,Abu Dhabi,2024
DOO,1.0,MEDIUM,1.0,22.0,22,Abu Dhabi,2024
DOO,2.0,HARD,23.0,57.0,35,Abu Dhabi,2024
GAS,1.0,MEDIUM,1.0,14.0,14,Abu Dhabi,2024
GAS,2.0,HARD,15.0,58.0,44,Abu Dhabi,2024
HAM,1.0,HARD,1.0,34.0,34,Abu Dhabi,2024
HAM,2.0,MEDIUM,35.0,58.0,24,Abu Dhabi,2024
HUL,1.0,MEDIUM,1.0,13.0,13,Abu Dhabi,2024
HUL,2.0,HARD,14.0,58.0,45,Abu Dhabi,2024
LAW,1.0,MEDIUM,1.0,23.0,23,Abu Dhabi,2024
LAW,2.0,HARD,24.0,24.0,1,Abu Dhabi,2024
LAW,3.0,HARD,25.0,29.0,5,Abu Dhabi,2024
LAW,4.0,HARD,30.0,56.0,27,Abu Dhabi,2024
LEC,1.0,MEDIUM,1.0,20.0,20,Abu Dhabi,2024
LEC,2.0,HARD,21.0,58.0,38,Abu Dhabi,2024
MAG,1.0,MEDIUM,1.0,12.0,12,Abu Dhabi,2024
MAG,2.0,HARD,13.0,29.0,17,Abu Dhabi,2024
MAG,3.0,HARD,30.0,30.0,1,Abu Dhabi,2024
MAG,4.0,SOFT,31.0,55.0,25,Abu Dhabi,2024
MAG,5.0,SOFT,56.0,57.0,2,Abu Dhabi,2024
NOR,1.0,MEDIUM,1.0,26.0,26,Abu Dhabi,2024
NOR,2.0,HARD,27.0,58.0,32,Abu Dhabi,2024
PER,1.0,MEDIUM,1.0,1.0,1,Abu Dhabi,2024
PIA,1.0,MEDIUM,1.0,4.0,4,Abu Dhabi,2024
PIA,2.0,HARD,5.0,32.0,28,Abu Dhabi,2024
PIA,3.0,HARD,33.0,58.0,26,Abu Dhabi,2024
RUS,1.0,MEDIUM,1.0,26.0,26,Abu Dhabi,2024
RUS,2.0,HARD,27.0,58.0,32,Abu Dhabi,2024
SAI,1.0,MEDIUM,1.0,25.0,25,Abu Dhabi,2024
SAI,2.0,HARD,26.0,58.0,33,Abu Dhabi,2024
STR,1.0,MEDIUM,1.0,11.0,11,Abu Dhabi,2024
STR,2.0,HARD,12.0,32.0,21,Abu Dhabi,2024
STR,3.0,HARD,33.0,57.0,25,Abu Dhabi,2024
TSU,1.0,MEDIUM,1.0,22.0,22,Abu Dhabi,2024
TSU,2.0,HARD,23.0,57.0,35,Abu Dhabi,2024
VER,1.0,MEDIUM,1.0,29.0,29,Abu Dhabi,2024
VER,2.0,HARD,30.0,58.0,29,Abu Dhabi,2024
ZHO,1.0,MEDIUM,1.0,12.0,12,Abu Dhabi,2024
ZHO,2.0,HARD,13.0,39.0,27,Abu Dhabi,2024
ZHO,3.0,HARD,40.0,57.0,18,Abu Dhabi,2024
