Driver,TotalLaps,AvgLapTime,Overtakes,FinalPosition,Weather,Race,Season
ALB,56,97.826642857,8,15.0,Not Rainy,Qatar,2024
ALO,57,96.231403508,7,7.0,Not Rainy,Qatar,2024
BOT,57,94.4432,7,11.0,Not Rainy,Qatar,2024
COL,1,,0,19.0,Not Rainy,Qatar,2024
GAS,57,96.177280701,8,5.0,Not Rainy,Qatar,2024
HAM,57,94.067527272,8,12.0,Not Rainy,Qatar,2024
HUL,40,98.320717948,6,16.0,Not Rainy,Qatar,2024
LAW,57,95.866839285,9,14.0,Not Rainy,Qatar,2024
LEC,57,93.575745454,3,2.0,Not Rainy,Qatar,2024
MAG,57,96.447368421,10,9.0,Not Rainy,Qatar,2024
NOR,57,92.820925925,5,10.0,Not Rainy,Qatar,2024
OCO,1,,0,20.0,Not Rainy,Qatar,2024
PER,39,95.456405405,3,17.0,Not Rainy,Qatar,2024
PIA,57,94.76075,4,3.0,Not Rainy,Qatar,2024
RUS,57,96.042578947,6,4.0,Not Rainy,Qatar,2024
SAI,57,96.18945614,4,6.0,Not Rainy,Qatar,2024
STR,8,121.44525,0,18.0,Not Rainy,Qatar,2024
TSU,57,96.954789473,9,13.0,Not Rainy,Qatar,2024
VER,57,91.006566037,0,1.0,Not Rainy,Qatar,2024
ZHO,57,96.327771929,8,8.0,Not Rainy,Qatar,2024
